timestamp,act_boss,act_player,b_obs_0,b_obs_1,b_obs_2,b_obs_3,b_obs_4,b_obs_5,b_obs_6,b_obs_7,b_obs_8,b_obs_9,b_obs_10,b_obs_11,b_obs_12,b_obs_13,b_obs_14,b_obs_15,b_obs_16,b_obs_17,b_obs_18,b_obs_19,b_obs_20,b_obs_21,b_obs_22,b_obs_23,b_obs_24,b_obs_25,b_obs_26,b_obs_27,b_obs_28,b_obs_29,b_obs_30,b_obs_31,b_obs_32,p_obs_0,p_obs_1,p_obs_2,p_obs_3,p_obs_4,p_obs_5,p_obs_6,p_obs_7,p_obs_8,p_obs_9,p_obs_10,p_obs_11,p_obs_12,p_obs_13,p_obs_14,p_obs_15,p_obs_16,p_obs_17,p_obs_18,p_obs_19,p_obs_20,p_obs_21,p_obs_22,p_obs_23,p_obs_24,p_obs_25,p_obs_26,p_obs_27,p_obs_28,p_obs_29,p_obs_30,p_obs_31,p_obs_32
0,4,3,0.5005000233650208,0.5,0.45899999141693115,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13266655802726746,0.0,0.0,0.0,0.45899999141693115,0.5,0.5005000233650208,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,9,0.5005000233650208,0.5,0.45899999141693115,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15933316946029663,0.0,0.0,0.0,0.45899999141693115,0.5,0.5005000233650208,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9,3,0.5005000233650208,0.5,0.4580000042915344,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1859997808933258,0.0,0.0,0.0,0.4580000042915344,0.5,0.5005000233650208,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5912455320358276,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,3,0.5005000233650208,0.5,0.4569999873638153,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2126663774251938,0.0,0.0,0.0,0.4569999873638153,0.5,0.5005000233650208,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5949610471725464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,3,0.5005000233650208,0.5005000233650208,0.4560000002384186,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333358168602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23758317530155182,0.0,0.0,0.0,0.4560000002384186,0.5,0.5005000233650208,0.5005000233650208,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5985831618309021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,3,0.5005000233650208,0.5005000233650208,0.45500001311302185,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333358168602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26424887776374817,0.0,0.0,0.0,0.45500001311302185,0.5,0.5005000233650208,0.5005000233650208,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6021093726158142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,3,0.5009999871253967,0.5005000233650208,0.45399999618530273,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333358168602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28277528285980225,0.0,0.0,0.0,0.45399999618530273,0.5,0.5009999871253967,0.5005000233650208,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6055371165275574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,3,0.5009999871253967,0.5005000233650208,0.453000009059906,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333358168602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30944135785102844,0.0,0.0,0.0,0.453000009059906,0.5,0.5009999871253967,0.5005000233650208,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6088637113571167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4,3,0.5015000104904175,0.5005000233650208,0.4519999921321869,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333358168602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32796451449394226,0.0,0.0,0.0,0.4519999921321869,0.5,0.5015000104904175,0.5005000233650208,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6120866537094116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,3,0.5015000104904175,0.5005000233650208,0.45100000500679016,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333358168602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3546309173107147,0.0,0.0,0.0,0.45100000500679016,0.5,0.5015000104904175,0.5005000233650208,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6152032613754272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
