timestamp,act_boss,act_player,b_obs_0,b_obs_1,b_obs_2,b_obs_3,b_obs_4,b_obs_5,b_obs_6,b_obs_7,b_obs_8,b_obs_9,b_obs_10,b_obs_11,b_obs_12,b_obs_13,b_obs_14,b_obs_15,b_obs_16,b_obs_17,b_obs_18,b_obs_19,b_obs_20,b_obs_21,b_obs_22,b_obs_23,b_obs_24,b_obs_25,b_obs_26,b_obs_27,b_obs_28,b_obs_29,b_obs_30,b_obs_31,b_obs_32,p_obs_0,p_obs_1,p_obs_2,p_obs_3,p_obs_4,p_obs_5,p_obs_6,p_obs_7,p_obs_8,p_obs_9,p_obs_10,p_obs_11,p_obs_12,p_obs_13,p_obs_14,p_obs_15,p_obs_16,p_obs_17,p_obs_18,p_obs_19,p_obs_20,p_obs_21,p_obs_22,p_obs_23,p_obs_24,p_obs_25,p_obs_26,p_obs_27,p_obs_28,p_obs_29,p_obs_30,p_obs_31,p_obs_32
0,5,9,0.5,0.5,0.46000000834465027,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4942721128463745,0.0,0.0,0.0,0.46000000834465027,0.5,0.5,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.20000000298023224,0.0,0.20000000298023224,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6497086882591248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,9,0.5,0.5,0.46000000834465027,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5102720856666565,0.0,0.0,0.0,0.46000000834465027,0.5,0.5,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.20000000298023224,0.0,0.20000000298023224,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7788441181182861,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,3,0.5,0.5,0.46000000834465027,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5262721180915833,0.0,0.0,0.0,0.46000000834465027,0.5,0.5,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.20000000298023224,0.0,0.20000000298023224,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7907791137695312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,9,0.5,0.5,0.46000000834465027,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5422720909118652,0.0,0.0,0.0,0.46000000834465027,0.5,0.5,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.20000000298023224,0.0,0.20000000298023224,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.802706241607666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,9,0.5,0.5,0.46000000834465027,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.558272123336792,0.0,0.0,0.0,0.46000000834465027,0.5,0.5,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.20000000298023224,0.0,0.20000000298023224,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8146239519119263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,2,0.5,0.5,0.46000000834465027,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.574272096157074,0.0,0.0,0.0,0.46000000834465027,0.5,0.5,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.20000000298023224,0.0,0.20000000298023224,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8265302777290344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,2,0.5,0.5,0.46000000834465027,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5902721285820007,0.0,0.0,0.0,0.46000000834465027,0.5,0.5,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.20000000298023224,0.0,0.20000000298023224,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8384227752685547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,10,1,0.5,0.5,0.46000000834465027,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6062721014022827,0.0,0.0,0.0,0.46000000834465027,0.5,0.5,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.20000000298023224,0.0,0.20000000298023224,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8502980470657349,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4,9,0.5005000233650208,0.5,0.46000000834465027,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6173830628395081,0.0,0.0,0.0,0.46000000834465027,0.5,0.5005000233650208,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.20000000298023224,0.0,0.20000000298023224,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8621518015861511,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,2,0.5005000233650208,0.5,0.46000000834465027,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6333829760551453,0.0,0.0,0.0,0.46000000834465027,0.5,0.5005000233650208,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.20000000298023224,0.0,0.20000000298023224,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8739778399467468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
