timestamp,act_boss,act_player,b_obs_0,b_obs_1,b_obs_2,b_obs_3,b_obs_4,b_obs_5,b_obs_6,b_obs_7,b_obs_8,b_obs_9,b_obs_10,b_obs_11,b_obs_12,b_obs_13,b_obs_14,b_obs_15,b_obs_16,b_obs_17,b_obs_18,b_obs_19,b_obs_20,b_obs_21,b_obs_22,b_obs_23,b_obs_24,b_obs_25,b_obs_26,b_obs_27,b_obs_28,b_obs_29,b_obs_30,b_obs_31,b_obs_32,p_obs_0,p_obs_1,p_obs_2,p_obs_3,p_obs_4,p_obs_5,p_obs_6,p_obs_7,p_obs_8,p_obs_9,p_obs_10,p_obs_11,p_obs_12,p_obs_13,p_obs_14,p_obs_15,p_obs_16,p_obs_17,p_obs_18,p_obs_19,p_obs_20,p_obs_21,p_obs_22,p_obs_23,p_obs_24,p_obs_25,p_obs_26,p_obs_27,p_obs_28,p_obs_29,p_obs_30,p_obs_31,p_obs_32
0,5,5,0.5,0.5,0.46000000834465027,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4942721128463745,0.0,0.0,0.0,0.46000000834465027,0.5,0.5,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.20000000298023224,0.0,0.20000000298023224,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6497086882591248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,3,0.5,0.5,0.45899999141693115,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5102720856666565,0.0,0.0,0.0,0.45899999141693115,0.5,0.5,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.20000000298023224,0.0,0.15000000596046448,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692272067070007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10,5,0.5,0.5,0.45899999141693115,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5262721180915833,0.0,0.0,0.0,0.45899999141693115,0.5,0.5,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.20000000298023224,0.0,0.15000000596046448,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7811641097068787,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,10,0.5,0.5,0.45899999141693115,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5422720909118652,0.0,0.0,0.0,0.45899999141693115,0.5,0.5,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.20000000298023224,0.0,0.15000000596046448,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7930936813354492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,5,0.5,0.5,0.45899999141693115,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.558272123336792,0.0,0.0,0.0,0.45899999141693115,0.5,0.5,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.20000000298023224,0.0,0.15000000596046448,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8050146698951721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,9,1,0.5,0.5,0.45899999141693115,0.49900001287460327,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.574272096157074,0.0,0.0,0.0,0.45899999141693115,0.49900001287460327,0.5,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.25,0.0,0.15000000596046448,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8142905831336975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3,5,0.49950000643730164,0.5,0.45899999141693115,0.49900001287460327,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5951583385467529,0.0,0.0,0.0,0.45899999141693115,0.49900001287460327,0.49950000643730164,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.25,0.0,0.15000000596046448,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.826255738735199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,2,0.49950000643730164,0.5,0.45899999141693115,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6111582517623901,0.0,0.0,0.0,0.45899999141693115,0.5,0.49950000643730164,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.20000000298023224,0.0,0.15000000596046448,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8407063484191895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,2,0.49950000643730164,0.5,0.45899999141693115,0.5009999871253967,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6271582245826721,0.0,0.0,0.0,0.45899999141693115,0.5009999871253967,0.49950000643730164,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.20000000298023224,0.0,0.15000000596046448,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8543228507041931,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,4,5,0.5,0.5,0.45899999141693115,0.5009999871253967,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6382721066474915,0.0,0.0,0.0,0.45899999141693115,0.5009999871253967,0.5,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.20000000298023224,0.0,0.15000000596046448,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8659967184066772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,4,2,0.5005000233650208,0.5,0.45899999141693115,0.5019999742507935,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6493828892707825,0.0,0.0,0.0,0.45899999141693115,0.5019999742507935,0.5005000233650208,0.5,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.20000000298023224,0.0,0.15000000596046448,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8781878352165222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2,10,0.5005000233650208,0.5005000233650208,0.45899999141693115,0.5019999742507935,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.44999998807907104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45899999141693115,0.5019999742507935,0.5005000233650208,0.5005000233650208,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.20000000298023224,0.0,0.15000000596046448,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8893870115280151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3,2,0.5,0.5005000233650208,0.45899999141693115,0.503000020980835,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.44999998807907104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45899999141693115,0.503000020980835,0.5,0.5005000233650208,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.15000000596046448,0.0,0.15000000596046448,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8992502689361572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,3,7,0.49950000643730164,0.5005000233650208,0.45899999141693115,0.503000020980835,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.44999998807907104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45899999141693115,0.503000020980835,0.49950000643730164,0.5005000233650208,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.15000000596046448,0.0,0.15000000596046448,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9093936085700989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,2,0.49950000643730164,0.5005000233650208,0.45899999141693115,0.5040000081062317,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.44999998807907104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45899999141693115,0.5040000081062317,0.49950000643730164,0.5005000233650208,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.15000000596046448,0.0,0.15000000596046448,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6650542616844177,0.0,0.0,0.0,0.0,0.0,0.0,0.91539067029953
15,6,8,0.49950000643730164,0.5005000233650208,0.45899999141693115,0.5040000081062317,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.44999998807907104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45899999141693115,0.5040000081062317,0.49950000643730164,0.5005000233650208,1.0,1.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.15000000596046448,0.0,0.15000000596046448,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6767087578773499,0.0,0.0,0.0,0.0,0.0,0.0,0.9233205914497375
